"Number of Tags","Number of Tags"
"Permalink Settings","Permalink Settings"
"Blog Route","Blog Route"
"Post URL Suffix","Post URL Suffix"
"Use Categories Path for Post URLs","Use Categories Path for Post URLs"
"Category Route","Category Route"
htpps://domain.com/{blog_route}/{category_route}/{category_identifier},htpps://domain.com/{blog_route}/{category_route}/{category_identifier}
"Category URL Suffix","Category URL Suffix"
"Archive Route","Archive Route"
htpps://domain.com/{blog_route}/{archive_route}/2019/10,htpps://domain.com/{blog_route}/{archive_route}/2019/10
"Archive URL Suffix","Archive URL Suffix"
"Tag Route","Tag Route"
htpps://domain.com/{blog_route}/{archive_route}/{tag_identifier},htpps://domain.com/{blog_route}/{archive_route}/{tag_identifier}
"Tag URL Suffix","Tag URL Suffix"
"Author Route","Author Route"
htpps://domain.com/{blog_route}/{author_route}/{author_identifier},htpps://domain.com/{blog_route}/{author_route}/{author_identifier}
"Author URL Suffix","Author URL Suffix"
"Search Route","Search Route"
htpps://domain.com/{blog_route}/{search_route}/result?s=blog,htpps://domain.com/{blog_route}/{search_route}/result?s=blog
"XML Sitemap","XML Sitemap"
Frequency,Frequency
Priority,Priority
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Blog Categories","Blog Categories"
"Blog Posts","Blog Posts"
"Blog Tags","Blog Tags"
"Blog Authours","Blog Authours"
"RSS Feeds","RSS Feeds"
Text,Text
"Post Listing","Post Listing"
"Category Top Navigation","Category Top Navigation"
"Include Blog Categories","Include Blog Categories"
"Blog Post List","Blog Post List"
"Custom Class","Custom Class"
"Post IDs","Post IDs"
"Post Ids which you want to show. Example: 1, 5, 8, 10,etc","Post Ids which you want to show. Example: 1, 5, 8, 10,etc"
"Featured Post","Featured Post"
"Number of Posts to Display","Number of Posts to Display"
"Box Padding","Box Padding"
"Disable Box Shadow","Disable Box Shadow"
"Disable Border","Disable Border"
"Post Settings","Post Settings"
Excerpt,Excerpt
"OwlCarousel Settings","OwlCarousel Settings"
"Large Devices, Wide Screens(>=1200px)","Large Devices, Wide Screens(>=1200px)"
"Medium Devices, Desktops(<1200x)","Medium Devices, Desktops(<1200x)"
"Small Devices, Tablets(<992px)","Small Devices, Tablets(<992px)"
"Extra Small Devices, Phones(<768px)","Extra Small Devices, Phones(<768px)"
"Custom, iPhone Retina(<544px)","Custom, iPhone Retina(<544px)"
"Auto Play","Auto Play"
"Auto Play Hover Pause","Auto Play Hover Pause"
"Auto Play Timeout","Auto Play Timeout"
"Next/Prev Buttons","Next/Prev Buttons"
"Dots Navigation","Dots Navigation"
"Right To Left","Right To Left"
Loop,Loop
Margin,Margin
"Author Information","Author Information"
"Enable Author","Enable Author"
"Admin User","Admin User"
"Account Information","Account Information"
"Profile Picture","Profile Picture"
Content,Content
"Social Networking","Social Networking"
"Twitter Username","Twitter Username"
"Facebook URL","Facebook URL"
"LinkedIn URL","LinkedIn URL"
"Flickr URL","Flickr URL"
"YouTube URL","YouTube URL"
"Pinterest URL","Pinterest URL"
"Behance URL","Behance URL"
"Instagram URL","Instagram URL"
"Search Engine Optimization","Search Engine Optimization"
"Posts in Author","Posts in Author"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
DESC,DESC
"First Name","First Name"
"Last Name","Last Name"
User,User
"Meta KeyWords","Meta KeyWords"
"Category Information","Category Information"
"Enable Category","Enable Category"
"Display Settings","Display Settings"
"Include In Menu","Include In Menu"
"Category in Websites","Category in Websites"
"Store View","Store View"
"Canonical URL","Canonical URL"
"The canonical URL that this page should point to. Leave empty to default to category url.","The canonical URL that this page should point to. Leave empty to default to category url."
"Posts in Category","Posts in Category"
Created,Created
Modified,Modified
Layout,Layout
"Comment Information","Comment Information"
"Publish Date","Publish Date"
"Import Information","Import Information"
"Post Information","Post Information"
"Enable Post","Enable Post"
"Featured Image","Featured Image"
"Customer Groups","Customer Groups"
Featured,Featured
"Pin post at the top","Pin post at the top"
"Allow Comment","Allow Comment"
"Post in Websites","Post in Websites"
"The canonical URL that this page should point to. Leave empty to default to post url.","The canonical URL that this page should point to. Leave empty to default to post url."
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Leave blank to use Meta Title by default."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Leave blank to use Meta Description by default."
"OG Image","OG Image"
"Leave blank to use Featured Image by default.","Leave blank to use Featured Image by default."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
"All Store Views","All Store Views"
Views,Views
Pinned,Pinned
"Tag Information","Tag Information"
"Enable Tag","Enable Tag"
"The canonical URL that this page should point to. Leave empty to default to tag url.","The canonical URL that this page should point to. Leave empty to default to tag url."
"Posts in Tag","Posts in Tag"
Popular,Popular
Recent,Recent
"Featured Posts","Featured Posts"
"Min read","Min read"
"Your feelings about the post?","Your feelings about the post?"
"Like","Like"
"Dislike","Dislike"
"Previous article","Previous article"
"Next article","Next article"
"I agree to the <a target="_blank" href="%1">Privacy Policy</a>","I agree to the <a target="_blank" href="%1">Privacy Policy</a>"
"Minutes","Minutes"
"You can set a future date to schedule the publication. The post will not be available for reading until this date.","You can set a future date to schedule the publication. The post will not be available for reading until this date."
"You can set an end date of the publication. The post will not be available for reading after this date.","You can set an end date of the publication. The post will not be available for reading after this date."
"Eg: "/privacy-policy-cookie-restriction-mode". If field is not filled in. GDPR consent is disabled","Eg: "/privacy-policy-cookie-restriction-mode". If field is not filled in. GDPR consent is disabled"
"Go to Stores -> Configuration -> Security -> Google reCAPTCHA Storefront to config Google API Website Key and Google API Secret Key","Go to Stores -> Configuration -> Security -> Google reCAPTCHA Storefront to config Google API Website Key and Google API Secret Key"
"Show more","Show more"
"Are you sure you want to change status selected items to approved?","Are you sure you want to change status selected items to approved?"
"Are you sure you want to change status selected items to pending?","Are you sure you want to change status selected items to pending?"
"A total of %1 record(s) have been changed status to pending.","A total of %1 record(s) have been changed status to pending."
"A total of %1 record(s) have been changed status to approved.","A total of %1 record(s) have been changed status to approved."
"Change status","Change status"
